[00:03:01] [Server thread/INFO]: [Criss_17: Gave 1000 experience points to Criss_17]
[00:03:23] [Server thread/INFO]: [Criss_17: Gave 1000 experience points to Criss_17]
[00:04:28] [Server thread/INFO]: [Criss_17: Gave 1000 experience points to Criss_17]
[00:04:48] [Server thread/INFO]: [Criss_17: Gave 1000 experience points to Criss_17]
[00:05:48] [Server thread/INFO]: [Criss_17: Gave 3000 experience points to Criss_17]
[00:06:26] [Server thread/INFO]: [Criss_17: Gave 3000 experience points to Criss_17]
[00:27:14] [Server thread/INFO]: [Criss_17: Set own game mode to Spectator Mode]
[00:27:18] [Server thread/INFO]: [Criss_17: Set own game mode to Survival Mode]
[00:34:00] [Server thread/INFO]: [Criss_17: Set own game mode to Spectator Mode]
[00:34:06] [Server thread/INFO]: [Criss_17: Set own game mode to Creative Mode]
[00:34:19] [Server thread/INFO]: [Criss_17: Set own game mode to Spectator Mode]
[00:34:20] [Server thread/INFO]: [Criss_17: Set own game mode to Survival Mode]
[00:35:19] [Server thread/INFO]: [Criss_17: Set own game mode to Spectator Mode]
[00:35:23] [Server thread/INFO]: [Criss_17: Set own game mode to Survival Mode]
[00:43:07] [Server thread/INFO]: [Criss_17: Set own game mode to Spectator Mode]
[00:43:11] [Server thread/INFO]: [Criss_17: Set own game mode to Survival Mode]
[00:43:15] [Server thread/INFO]: [Criss_17: Set own game mode to Spectator Mode]
[00:43:20] [Server thread/INFO]: [Criss_17: Set own game mode to Survival Mode]
[00:46:58] [Server thread/INFO]: [Criss_17: Set own game mode to Spectator Mode]
[00:47:02] [Server thread/INFO]: [Criss_17: Set own game mode to Survival Mode]
[01:00:52] [Server thread/INFO]: [Criss_17: Set own game mode to Spectator Mode]
[01:00:57] [Server thread/INFO]: [Criss_17: Set own game mode to Survival Mode]
